High,Low,Close,Upper,Middle,Lower
357.309998,354.480011,356.790009,354.43,343.85,333.33
360,357.230011,359.859985,355.15,344.91,334.42
360.559998,358.070007,358.929993,355.86,346.06,335.92
362.609985,358.179993,361.329987,356.95,347.29,337.25
363.029999,360.25,361,358.18,348.4,338.3
362.459991,360.049988,361.799988,359.25,349.65,339.54
363.190002,361.23999,362.679993,360.41,350.98,340.92
362.640015,359.579987,361.339996,361.47,352.46,342.62
362.119995,359.209991,360.049988,362.33,353.59,344.3
361.519989,358.299988,358.690002,363.25,354.46,345.41
